source,target,weight
张三丰,杨不悔,0.023684
丁敏君,杨不悔,0.013158
五姑,杨不悔,0.013158
何太冲,杨不悔,0.031579
何足道,杨不悔,0.007895
俞岱岩,杨不悔,0.013158
农妇,杨不悔,0.002632
冷谦,杨不悔,0.005263
吴劲草,杨不悔,0.002632
吴祯,杨不悔,0.002632
吴良,杨不悔,0.002632
周芷若,杨不悔,0.010526
周颠,杨不悔,0.023684
圆真,杨不悔,0.010526
大汉,杨不悔,0.005263
姚清泉,杨不悔,0.002632
宋远桥,杨不悔,0.005263
宋青书,杨不悔,0.005263
小昭,杨不悔,0.026316
常遇春,杨不悔,0.005263
张无忌,杨不悔,0.226316
张松溪,杨不悔,0.002632
张翠山,杨不悔,0.005263
彭莹玉,杨不悔,0.002632
徐达,杨不悔,0.013158
明珠,杨不悔,0.002632
朱九真,杨不悔,0.002632
朱元璋,杨不悔,0.007895
朱长龄,杨不悔,0.002632
杨逍,杨不悔,0.071053
殷天正,杨不悔,0.010526
殷梨亭,杨不悔,0.055263
殷素素,杨不悔,0.005263
殷野王,杨不悔,0.002632
汉子,杨不悔,0.023684
汤和,杨不悔,0.005263
渡劫,杨不悔,0.005263
渡厄,杨不悔,0.002632
渡难,杨不悔,0.002632
灭绝师太,杨不悔,0.021053
王难姑,杨不悔,0.013158
班淑娴,杨不悔,0.015789
白熊,杨不悔,0.002632
简捷,杨不悔,0.031579
纪晓芙,杨不悔,0.060526
胡青牛,杨不悔,0.018421
花云,杨不悔,0.005263
苏习之,杨不悔,0.007895
范遥,杨不悔,0.002632
莫声谷,杨不悔,0.005263
薛公远,杨不悔,0.023684
西华子,杨不悔,0.005263
詹春,杨不悔,0.010526
说不得,杨不悔,0.010526
谢逊,杨不悔,0.010526
贝锦仪,杨不悔,0.010526
赵一伤,杨不悔,0.005263
赵敏,杨不悔,0.018421
邓愈,杨不悔,0.002632
金花婆婆,杨不悔,0.013158
钱二败,杨不悔,0.005263
阿三,杨不悔,0.002632
阿二,杨不悔,0.005263
陈友谅,杨不悔,0.002632
静慧,杨不悔,0.002632
韦一笑,杨不悔,0.021053
高老者,杨不悔,0.002632
汉子,陆乘风,0.025316
一灯大师,陆乘风,0.006329
丘处机,陆乘风,0.012658
全金发,陆乘风,0.012658
农夫,陆乘风,0.006329
冯默风,陆乘风,0.012658
南希仁,陆乘风,0.006329
周伯通,陆乘风,0.018987
大苦,陆乘风,0.006329
孙不二,陆乘风,0.006329
完颜洪烈,陆乘风,0.025316
尹志平,陆乘风,0.006329
朱聪,陆乘风,0.044304
李莫愁,陆乘风,0.006329
杨康,陆乘风,0.018987
杨铁心,陆乘风,0.006329
枯木,陆乘风,0.012658
柯镇恶,陆乘风,0.025316
梅超风,陆乘风,0.101266
樵子,陆乘风,0.006329
段天德,陆乘风,0.018987
洪七公,陆乘风,0.025316
灵智上人,陆乘风,0.006329
王处一,陆乘风,0.006329
程瑶迦,陆乘风,0.012658
穆念慈,陆乘风,0.006329
老头子,陆乘风,0.006329
裘千仞,陆乘风,0.025316
郭啸天,陆乘风,0.012658
郭靖,陆乘风,0.158228
铁匠,陆乘风,0.006329
陆冠英,陆乘风,0.056962
陈玄风,陆乘风,0.018987
韩宝驹,陆乘风,0.012658
韩小莹,陆乘风,0.012658
马钰,陆乘风,0.012658
黄药师,陆乘风,0.107595
黄蓉,陆乘风,0.126582
侯通海,黎生,0.012821
大汉,黎生,0.012821
孙不二,黎生,0.025641
完颜洪烈,黎生,0.025641
余兆兴,黎生,0.076923
彭连虎,黎生,0.012821
彭长老,黎生,0.012821
杨康,黎生,0.038462
梁长老,黎生,0.025641
欧阳克,黎生,0.166667
洪七公,黎生,0.102564
程瑶迦,黎生,0.038462
简长老,黎生,0.025641
裘千仞,黎生,0.012821
郭靖,黎生,0.179487
陆冠英,黎生,0.012821
鲁有脚,黎生,0.012821
黄蓉,黎生,0.205128
胡斐,曹云奇,0.037500
于管家,曹云奇,0.012500
刘元鹤,曹云奇,0.037500
周云阳,曹云奇,0.137500
宝树,曹云奇,0.062500
平阿四,曹云奇,0.037500
殷吉,曹云奇,0.062500
汉子,曹云奇,0.037500
熊元献,曹云奇,0.012500
琴儿,曹云奇,0.012500
田归农,曹云奇,0.062500
田青文,曹云奇,0.175000
苗若兰,曹云奇,0.025000
郑三娘,曹云奇,0.050000
陶子安,曹云奇,0.150000
陶百岁,曹云奇,0.087500
诸保昆,姚伯当,0.081081
包不同,姚伯当,0.054054
司马林,姚伯当,0.297297
大汉,姚伯当,0.027027
慕容博,姚伯当,0.054054
慕容复,姚伯当,0.054054
王语嫣,姚伯当,0.270270
矮老者,姚伯当,0.027027
阿朱,姚伯当,0.108108
阿碧,姚伯当,0.027027
宫九佳,殷无福,0.022727
张无忌,殷无福,0.068182
张松溪,殷无福,0.022727
张翠山,殷无福,0.113636
殷天正,殷无福,0.022727
殷无寿,殷无福,0.204545
殷无禄,殷无福,0.159091
殷梨亭,殷无福,0.068182
殷素素,殷无福,0.045455
殷野王,殷无福,0.045455
汉子,殷无福,0.022727
王道,殷无福,0.045455
云鹤,殷无福,0.022727
祁天彪,殷无福,0.022727
脚夫,殷无福,0.022727
金花婆婆,殷无福,0.022727
韦一笑,殷无福,0.022727
周芷若,殷无福,0.022727
张三丰,殷无福,0.022727
刘一舟,大汉,0.002503
一灯大师,大汉,0.001252
丁不四,大汉,0.002503
丁典,大汉,0.007509
丁勉,大汉,0.001252
丁大全,大汉,0.003755
丁游,大汉,0.002503
万圭,大汉,0.001252
万震山,大汉,0.005006
丘处机,大汉,0.001252
中年武师,大汉,0.001252
乔寨主,大汉,0.001252
乔峰,大汉,0.017522
云鹤,大汉,0.001252
令狐冲,大汉,0.015019
仪和,大汉,0.001252
仪清,大汉,0.001252
仪琳,大汉,0.001252
何惕守,大汉,0.001252
余兆兴,大汉,0.001252
余沧海,大汉,0.001252
余鱼同,大汉,0.001252
侯通海,大汉,0.001252
侯飞文,大汉,0.001252
俞岱岩,大汉,0.002503
兰剑,大汉,0.002503
关安基,大汉,0.002503
关明梅,大汉,0.001252
农夫,大汉,0.001252
冯不摧,大汉,0.001252
冯不破,大汉,0.001252
冯难敌,大汉,0.002503
冷谦,大汉,0.001252
凤一鸣,大汉,0.001252
包不同,大汉,0.002503
包惜弱,大汉,0.001252
卓天雄,大汉,0.001252
单叔山,大汉,0.001252
南希仁,大汉,0.001252
卫春华,大汉,0.001252
双儿,大汉,0.002503
史仲猛,大汉,0.001252
史伯威,大汉,0.001252
史叔刚,大汉,0.002503
史季强,大汉,0.002503
史火龙,大汉,0.001252
司空玄,大汉,0.002503
司马大,大汉,0.001252
司马林,大汉,0.001252
向问天,大汉,0.002503
吕七,大汉,0.001252
吕留良,大汉,0.002503
吴三桂,大汉,0.003755
吴六奇,大汉,0.001252
吴六破,大汉,0.001252
吴立身,大汉,0.001252
周仲英,大汉,0.001252
周伯通,大汉,0.001252
周圻,大汉,0.001252
周绮,大汉,0.001252
周芷若,大汉,0.003755
周颠,大汉,0.003755
呼音克,大汉,0.001252
哈合台,大汉,0.001252
哈大霸,大汉,0.001252
哑巴,大汉,0.010013
哑梢公,大汉,0.001252
唐洋,大汉,0.001252
商宝震,大汉,0.003755
